id,student_count,pv_kw_t,bat_kw_t,demand_e,pv_kw_e,bat_kw_e,capex,capex_oem,npv_e,npv_demand_e,lcoe_e,opex,co2_e
254,213.64,132,230.399993896484,2563.68,3.09,5.39,4694.77,93.9,7185.52,34512.8,0.2082,159.93,0.846
99,216.46,156,201.600006103516,2597.52,3.7,4.78,5076.08,101.52,7512.34,34968.36,0.2148,160.07,0.8572
1028,217.15,144,201.600006103516,2605.8,3.43,4.8,4825.84,96.52,7204.69,35079.83,0.2054,155.32,0.8599
2817,217.7,120,172.800003051758,2612.4,2.86,4.12,4062.22,81.24,6084.05,35168.68,0.173,131.71,0.8621
1484,218.59,144,230.399993896484,2623.08,3.45,5.52,5079.47,101.59,7697.91,35312.45,0.218,169.21,0.8656
852,218.99,144,201.600006103516,2627.88,3.46,4.84,4867.4,97.35,7266.4,35377.07,0.2054,156.64,0.8672
2676,221.04,120,172.800003051758,2652.48,2.91,4.19,4132.58,82.65,6189.13,35708.24,0.1733,133.98,0.8753
1801,221.39,120,172.800003051758,2656.68,2.91,4.19,4132.58,82.65,6189.13,35764.78,0.1731,133.98,0.8767
2753,226.91,120,172.800003051758,2722.92,2.98,4.3,4234.99,84.7,6344.04,36656.52,0.1731,137.37,0.8986
682,229.82,132,230.399993896484,2757.84,3.32,5.8,5047.08,100.94,7726.02,37126.62,0.2081,171.99,0.9101
428,231.92,132,230.399993896484,2783.04,3.35,5.86,5095.16,101.9,7800.76,37465.87,0.2082,173.69,0.9184
1934,234.56,120,172.800003051758,2814.72,3.08,4.44,4375.7,87.51,6554.07,37892.35,0.173,141.9,0.9289
1784,235.46,120,172.800003051758,2825.52,3.1,4.46,4401.24,88.02,6590.86,38037.74,0.1733,142.66,0.9324
2222,237.22,120,172.800003051758,2846.64,3.12,4.49,4430.03,88.6,6634.23,38322.07,0.1731,143.6,0.9394
1027,238.05,144,201.600006103516,2856.6,3.76,5.26,5289.54,105.79,7896.62,38456.15,0.2053,170.22,0.9427
2583,240.02,120,172.800003051758,2880.24,3.16,4.55,4487.62,89.75,6720.85,38774.4,0.1733,145.49,0.9505
2596,241.7,120,172.800003051758,2900.4,3.18,4.58,4516.41,90.33,6764.22,39045.79,0.1732,146.43,0.9571
1930,242.19,120,172.800003051758,2906.28,3.18,4.59,4519.67,90.39,6770.68,39124.95,0.1731,146.62,0.9591
2662,244.31,120,172.800003051758,2931.72,3.21,4.63,4561.24,91.22,6832.39,39467.43,0.1731,147.94,0.9675
998,247.46,144,201.600006103516,2969.52,3.91,5.47,5500.61,110.01,8211.73,39976.3,0.2054,177.02,0.9799
1607,248.52,120,172.800003051758,2982.24,3.27,4.71,4644.36,92.89,6955.92,40147.54,0.1733,150.59,0.9841
576,248.74,132,230.399993896484,2984.88,3.6,6.28,5469.76,109.4,8371.73,40183.08,0.2083,186.33,0.985
811,248.9,132,230.399993896484,2986.8,3.6,6.28,5469.76,109.4,8371.73,40208.93,0.2082,186.33,0.9856
2265,252.1,120,172.800003051758,3025.2,3.32,4.77,4711.46,94.23,7054.42,40725.88,0.1732,152.66,0.9983
1482,256.13,144,230.399993896484,3073.56,4.04,6.47,5950.09,119.0,9018.24,41376.91,0.218,198.26,1.0143
1888,258.34,120,172.800003051758,3100.08,3.4,4.89,4826.64,96.53,7227.67,41733.93,0.1732,156.43,1.023
1623,264.56,120,172.800003051758,3174.72,3.48,5.01,4941.81,98.84,7401.02,42738.75,0.1732,160.21,1.0477
1659,266.89,120,172.800003051758,3202.68,3.51,5.05,4983.38,99.67,7462.74,43115.15,0.1731,161.53,1.0569
2678,269.35,120,172.800003051758,3232.2,3.54,5.1,5028.2,100.56,7530.9,43512.56,0.1731,163.03,1.0666
2061,270.43,120,172.800003051758,3245.16,3.56,5.12,5053.73,101.07,7567.69,43687.03,0.1732,163.79,1.0709
2666,270.75,120,172.800003051758,3249.0,3.56,5.13,5056.99,101.14,7574.27,43738.72,0.1732,163.98,1.0722
1992,272.66,120,172.800003051758,3271.92,3.59,5.16,5095.3,101.91,7629.52,44047.28,0.1732,165.12,1.0797
821,273.95,132,230.399993896484,3287.4,3.96,6.92,6020.64,120.41,9216.61,44255.67,0.2083,205.18,1.0848
857,275.65,144,201.600006103516,3307.8,4.35,6.09,6121.06,122.42,9138.73,44530.3,0.2052,197.02,1.0916
1493,276.29,144,230.399993896484,3315.48,4.36,6.98,6420.58,128.41,9730.95,44633.69,0.218,213.91,1.0941
1622,276.88,120,172.800003051758,3322.56,3.64,5.24,5168.91,103.38,7741.05,44729.0,0.1731,167.57,1.0964
3039,277.87,108,172.800003051758,3334.44,3.29,5.26,4842.6,96.85,7338.27,44888.93,0.1635,161.28,1.1004
1430,280.29,144,230.399993896484,3363.48,4.42,7.08,6510.22,130.2,9867.4,45279.88,0.2179,216.93,1.1099
1239,280.88,144,230.399993896484,3370.56,4.43,7.09,6522.98,130.46,9885.85,45375.19,0.2179,217.31,1.1123
1820,281.53,120,172.800003051758,3378.36,3.7,5.33,5255.3,105.11,7871.05,45480.19,0.1731,170.4,1.1149
52,284.15,156,201.600006103516,3409.8,4.86,6.28,6667.96,133.36,9868.52,45903.44,0.215,210.29,1.1252
2872,285.05,120,172.800003051758,3420.6,3.75,5.4,5325.65,106.51,7976.0,46048.84,0.1732,172.66,1.1288
2202,285.44,120,172.800003051758,3425.28,3.75,5.41,5328.91,106.58,7982.58,46111.84,0.1731,172.85,1.1303
448,285.98,132,230.399993896484,3431.76,4.14,7.22,6289.57,125.79,9626.09,46199.07,0.2084,214.24,1.1325
2223,287.07,120,172.800003051758,3444.84,3.78,5.44,5367.22,107.34,8037.71,46375.16,0.1733,173.98,1.1368
714,287.11,132,230.399993896484,3445.32,4.15,7.25,6308.86,126.18,9657.59,46381.62,0.2082,214.99,1.137
1966,288.85,120,172.800003051758,3466.2,3.8,5.47,5396.01,107.92,8081.08,46662.71,0.1732,174.93,1.1438
2954,290.12,120,172.800003051758,3481.44,3.82,5.49,5421.55,108.43,8117.88,46867.88,0.1732,175.68,1.1489
1372,290.55,144,230.399993896484,3486.6,4.59,7.34,6756.6,135.13,10238.92,46937.34,0.2181,225.04,1.1506
1559,292.35,144,172.800003051758,3508.2,4.61,5.54,6189.09,123.78,9088.96,47228.13,0.1924,191.65,1.1577
498,292.42,132,230.399993896484,3509.04,4.23,7.38,6427.29,128.55,9837.41,47239.43,0.2082,218.96,1.158
2568,292.56,120,172.800003051758,3510.72,3.85,5.54,5466.37,109.33,8186.16,47262.05,0.1732,177.19,1.1585
697,292.59,132,230.399993896484,3511.08,4.23,7.39,6430.55,128.61,9843.86,47266.9,0.2083,219.14,1.1587
2799,293.28,120,172.800003051758,3519.36,3.86,5.55,5479.13,109.58,8204.49,47378.36,0.1732,177.57,1.1614
1911,296.43,120,172.800003051758,3557.16,3.9,5.61,5536.72,110.73,8291.11,47887.24,0.1731,179.45,1.1739
2048,299.78,120,172.800003051758,3597.36,3.94,5.68,5597.57,111.95,8384.31,48428.42,0.1731,181.53,1.1871
